CUSTOMER_ID,CHURN_Ground_truth_Label,CHURN_PREDS,CHURN_PROBABILITY,CLIENT_TO_CONTACT,DISCOUNT
C105862,STAY,STAY,0.99070555,NO,0%
C111213,LEAVE,LEAVE,0.4814544,YES,10%
C110715,STAY,STAY,0.8672677,NO,0%
C110966,LEAVE,LEAVE,0.4525249,YES,10%
C113290,STAY,STAY,0.8352934,NO,0%
C111422,STAY,STAY,0.7418978,NO,0%
C114284,STAY,STAY,0.8737429,NO,0%
C101429,LEAVE,LEAVE,0.17186078,YES,5%
C107057,LEAVE,LEAVE,0.18988244,YES,5%
C100148,STAY,STAY,0.65953743,NO,0%
C107096,STAY,STAY,0.96274745,NO,0%
C112064,STAY,STAY,0.96474195,NO,0%
C104903,STAY,STAY,0.95243657,NO,0%
C101238,STAY,STAY,0.76716536,NO,0%
C115869,STAY,STAY,0.9444109,NO,0%
C107371,LEAVE,STAY,0.5019213,NO,0%
C100650,STAY,STAY,0.70818317,NO,0%
C100877,LEAVE,LEAVE,0.24246472,YES,5%
C111961,STAY,STAY,0.89583766,NO,0%
C113240,STAY,STAY,0.9836009,NO,0%
C109877,STAY,STAY,0.9213323,NO,0%
C106978,LEAVE,STAY,0.61695147,NO,0%
C113078,LEAVE,LEAVE,0.35572723,YES,10%
C103656,LEAVE,LEAVE,0.049588248,YES,5%
C112464,LEAVE,LEAVE,0.27175575,YES,10%
C102228,LEAVE,LEAVE,0.41794398,YES,10%
C112263,LEAVE,STAY,0.58935386,NO,0%
C105635,STAY,STAY,0.9788928,NO,0%
C112658,LEAVE,LEAVE,0.23248133,YES,5%
C114020,STAY,STAY,0.80349964,NO,0%
C109567,STAY,STAY,0.7991998,NO,0%
C114209,STAY,STAY,0.80418473,NO,0%
C113708,LEAVE,LEAVE,0.2770132,YES,10%
C100026,STAY,STAY,0.7263866,NO,0%
C112743,STAY,STAY,0.93222874,NO,0%
C100421,LEAVE,LEAVE,0.023900168,YES,5%
C108434,STAY,STAY,0.68947774,NO,0%
C102391,STAY,STAY,0.84203273,NO,0%
C113697,STAY,STAY,0.9361364,NO,0%
C100154,STAY,STAY,0.8730659,NO,0%
C108231,STAY,STAY,0.9910392,NO,0%
C100550,STAY,STAY,0.5721293,NO,0%
C114454,LEAVE,LEAVE,0.081096485,YES,5%
C105469,STAY,STAY,0.9467399,NO,0%
C110332,STAY,STAY,0.8727775,NO,0%
C110691,STAY,STAY,0.8451155,NO,0%
C101763,STAY,STAY,0.9500186,NO,0%
C103316,STAY,STAY,0.9014346,NO,0%
C115865,STAY,STAY,0.63437986,NO,0%
C101599,STAY,STAY,0.79319066,NO,0%
C114149,LEAVE,LEAVE,0.20326483,YES,5%
C110666,STAY,STAY,0.98741454,NO,0%
C105006,STAY,LEAVE,0.45981145,YES,10%
C113880,STAY,STAY,0.9564983,NO,0%
C101261,LEAVE,LEAVE,0.2616994,YES,10%
C115393,STAY,LEAVE,0.45482567,YES,10%
C105770,LEAVE,LEAVE,0.3381927,YES,10%
C108349,LEAVE,LEAVE,0.05209162,YES,5%
C113598,LEAVE,LEAVE,0.37190047,YES,10%
C113743,STAY,STAY,0.9973109,NO,0%
C114681,LEAVE,LEAVE,0.20200406,YES,5%
C107554,STAY,STAY,0.93334675,NO,0%
C101179,STAY,STAY,0.978207,NO,0%
C104499,LEAVE,LEAVE,0.29730147,YES,10%
C101627,STAY,STAY,0.66240644,NO,0%
C103107,STAY,STAY,0.90055853,NO,0%
C108928,LEAVE,STAY,0.65924907,NO,0%
C111834,LEAVE,LEAVE,0.24289195,YES,5%
C106150,STAY,STAY,0.92059815,NO,0%
C103310,STAY,STAY,0.9869529,NO,0%
C110295,STAY,STAY,0.8068997,NO,0%
C100941,LEAVE,LEAVE,0.083246715,YES,5%
C106448,LEAVE,LEAVE,0.060829826,YES,5%
C109702,STAY,STAY,0.8675261,NO,0%
C104134,STAY,STAY,0.96278906,NO,0%
C105799,STAY,STAY,0.911036,NO,0%
C110713,LEAVE,LEAVE,0.42129013,YES,10%
C107738,STAY,STAY,0.670992,NO,0%
C115048,LEAVE,STAY,0.8434255,NO,0%
C110374,STAY,STAY,0.68827707,NO,0%
C112475,STAY,STAY,0.834154,NO,0%
C101346,STAY,STAY,0.8480199,NO,0%
C106295,STAY,STAY,0.8799556,NO,0%
C107142,STAY,STAY,0.9577774,NO,0%
C109971,STAY,STAY,0.6900141,NO,0%
C101305,STAY,STAY,0.7467544,NO,0%
C114848,LEAVE,LEAVE,0.12059728,YES,5%
C107613,STAY,STAY,0.55314755,NO,0%
C111375,STAY,STAY,0.93691766,NO,0%
C111496,STAY,STAY,0.60424095,NO,0%
C104911,LEAVE,LEAVE,0.49733943,YES,10%
C102794,STAY,STAY,0.8398876,NO,0%
C107137,STAY,STAY,0.85506785,NO,0%
C109343,STAY,STAY,0.8970689,NO,0%
C111392,LEAVE,LEAVE,0.17435153,YES,5%
C113702,LEAVE,LEAVE,0.26946744,YES,10%
C109822,LEAVE,LEAVE,0.02233114,YES,5%
C106535,STAY,STAY,0.8698097,NO,0%
C109205,LEAVE,LEAVE,0.15949443,YES,5%
C112380,LEAVE,LEAVE,0.4587479,YES,10%
C101802,STAY,STAY,0.92355055,NO,0%
C100949,STAY,STAY,0.75072926,NO,0%
C112747,STAY,STAY,0.6675319,NO,0%
C108558,STAY,STAY,0.95417887,NO,0%
C103660,STAY,STAY,0.8738683,NO,0%
C112663,LEAVE,LEAVE,0.21328998,YES,5%
C102275,STAY,STAY,0.68966526,NO,0%
C110142,LEAVE,LEAVE,0.16922094,YES,5%
C105026,STAY,STAY,0.74653953,NO,0%
C115478,STAY,STAY,0.67806524,NO,0%
C115765,LEAVE,LEAVE,0.15202472,YES,5%
C106225,STAY,STAY,0.8863294,NO,0%
C115841,STAY,STAY,0.6448801,NO,0%
C109359,STAY,STAY,0.9322101,NO,0%
C111974,STAY,STAY,0.7881123,NO,0%
C114016,LEAVE,LEAVE,0.25256678,YES,10%
C103720,STAY,STAY,0.9339249,NO,0%
C106626,STAY,STAY,0.91635054,NO,0%
C109430,STAY,STAY,0.8931067,NO,0%
C111352,LEAVE,LEAVE,0.10047154,YES,5%
C113312,LEAVE,LEAVE,0.19290125,YES,5%
C106801,STAY,STAY,0.8561957,NO,0%
C102558,STAY,STAY,0.9610365,NO,0%
C108067,LEAVE,LEAVE,0.088530056,YES,5%
C104746,STAY,STAY,0.8168011,NO,0%
C113080,STAY,STAY,0.9146394,NO,0%
C105109,LEAVE,STAY,0.69802177,NO,0%
C114321,STAY,LEAVE,0.40457466,YES,10%
C109655,STAY,STAY,0.5739624,NO,0%
C103160,STAY,STAY,0.78890485,NO,0%
C110552,STAY,STAY,0.9357437,NO,0%
C100306,LEAVE,STAY,0.94782794,NO,0%
C108998,LEAVE,STAY,0.8044971,NO,0%
C114488,LEAVE,LEAVE,0.28520536,YES,10%
C106240,LEAVE,STAY,0.87780553,NO,0%
C103362,STAY,STAY,0.94025743,NO,0%
C108485,LEAVE,LEAVE,0.17219973,YES,5%
C106712,STAY,STAY,0.96898466,NO,0%
C106292,STAY,STAY,0.71986544,NO,0%
C111817,STAY,STAY,0.68356365,NO,0%
C107034,STAY,STAY,0.9035513,NO,0%
C100172,STAY,LEAVE,0.4833611,YES,10%
C112982,STAY,STAY,0.80251443,NO,0%
C105446,LEAVE,LEAVE,0.2637132,YES,10%
C110383,LEAVE,LEAVE,0.13903248,YES,5%
C110786,STAY,STAY,0.9305129,NO,0%
C103353,STAY,STAY,0.86017466,NO,0%
C100352,STAY,STAY,0.8642696,NO,0%
C111111,LEAVE,STAY,0.52903324,NO,0%
C103691,STAY,STAY,0.99338347,NO,0%
C111642,STAY,STAY,0.941678,NO,0%
C106676,STAY,STAY,0.86343724,NO,0%
C113981,LEAVE,LEAVE,0.18778037,YES,5%
C101801,STAY,STAY,0.6059441,NO,0%
C113317,LEAVE,LEAVE,0.46871746,YES,10%
C111683,LEAVE,LEAVE,0.32049814,YES,10%
C111556,STAY,STAY,0.96459645,NO,0%
C103407,STAY,STAY,0.99511933,NO,0%
C105693,LEAVE,STAY,0.6369807,NO,0%
C105832,STAY,STAY,0.97353256,NO,0%
C104519,STAY,STAY,0.89693373,NO,0%
C115767,LEAVE,LEAVE,0.18992157,YES,5%
C111904,LEAVE,STAY,0.76392096,NO,0%
C111840,STAY,STAY,0.828852,NO,0%
C111710,STAY,STAY,0.9214651,NO,0%
C103645,LEAVE,LEAVE,0.33570257,YES,10%
C110706,STAY,STAY,0.9638404,NO,0%
C110367,LEAVE,LEAVE,0.081850976,YES,5%
C102694,STAY,STAY,0.905313,NO,0%
C100484,STAY,STAY,0.81471467,NO,0%
C103845,LEAVE,STAY,0.6703649,NO,0%
C109681,LEAVE,LEAVE,0.34032074,YES,10%
C110961,LEAVE,LEAVE,0.075591505,YES,5%
C105745,STAY,STAY,0.85290414,NO,0%
C114131,LEAVE,LEAVE,0.47992256,YES,10%
C104179,STAY,STAY,0.80031216,NO,0%
C107946,STAY,STAY,0.844336,NO,0%
C103197,STAY,STAY,0.8756212,NO,0%
C113611,STAY,STAY,0.859669,NO,0%
C104309,STAY,STAY,0.5186812,NO,0%
C104341,LEAVE,STAY,0.6615372,NO,0%
C113559,LEAVE,STAY,0.5475308,NO,0%
C113446,STAY,STAY,0.63153124,NO,0%
C115598,LEAVE,LEAVE,0.45015094,YES,10%
C105898,STAY,STAY,0.65378463,NO,0%
C108814,LEAVE,LEAVE,0.18336785,YES,5%
C107711,STAY,STAY,0.824203,NO,0%
C111641,LEAVE,LEAVE,0.186584,YES,5%
C102227,LEAVE,LEAVE,0.42895517,YES,10%
C112444,LEAVE,STAY,0.5251408,NO,0%
C100050,STAY,STAY,0.82070106,NO,0%
C103719,STAY,STAY,0.66385293,NO,0%
C103335,STAY,STAY,0.8924932,NO,0%
C110253,STAY,STAY,0.915595,NO,0%
C109191,STAY,STAY,0.9562953,NO,0%
C103378,LEAVE,LEAVE,0.18525104,YES,5%
C105535,LEAVE,LEAVE,0.06349234,YES,5%
C114984,STAY,STAY,0.9732112,NO,0%
C113670,LEAVE,LEAVE,0.068677425,YES,5%
C114726,STAY,STAY,0.6118849,NO,0%
C101035,LEAVE,STAY,0.50805897,NO,0%
C110586,LEAVE,LEAVE,0.14759009,YES,5%
C113629,LEAVE,LEAVE,0.2461427,YES,5%
C108608,LEAVE,LEAVE,0.32452875,YES,10%
C108004,STAY,STAY,0.99352646,NO,0%
C100642,LEAVE,LEAVE,0.050051004,YES,5%
C108614,LEAVE,LEAVE,0.32776007,YES,10%
C113433,STAY,STAY,0.76960087,NO,0%
C112279,LEAVE,LEAVE,0.47169855,YES,10%
C100211,STAY,STAY,0.94757944,NO,0%
C108247,STAY,STAY,0.5546421,NO,0%
C113941,STAY,LEAVE,0.28122357,YES,10%
C101045,LEAVE,LEAVE,0.21300188,YES,5%
C109933,STAY,STAY,0.91444427,NO,0%
C103703,STAY,STAY,0.8809274,NO,0%
C104332,STAY,STAY,0.67878264,NO,0%
C106305,LEAVE,LEAVE,0.26065722,YES,10%
C114069,LEAVE,STAY,0.665418,NO,0%
C109940,STAY,STAY,0.89708436,NO,0%
C107553,STAY,STAY,0.99348336,NO,0%
C102883,LEAVE,LEAVE,0.16127813,YES,5%
C113005,LEAVE,LEAVE,0.18782093,YES,5%
C105087,LEAVE,STAY,0.5780691,NO,0%
C101061,STAY,STAY,0.87412435,NO,0%
C108291,STAY,STAY,0.96194637,NO,0%
C112734,STAY,STAY,0.80605656,NO,0%
C101560,STAY,LEAVE,0.2587389,YES,10%
C103069,STAY,STAY,0.76577,NO,0%
C111145,STAY,STAY,0.8672628,NO,0%
C102087,STAY,STAY,0.51686144,NO,0%
C106819,LEAVE,LEAVE,0.10376649,YES,5%
C102137,LEAVE,LEAVE,0.24685828,YES,5%
C113233,STAY,STAY,0.8911876,NO,0%
C106019,LEAVE,LEAVE,0.11574508,YES,5%
C103433,STAY,STAY,0.91127264,NO,0%
C102366,LEAVE,LEAVE,0.19426964,YES,5%
C102981,STAY,STAY,0.94879127,NO,0%
C113786,STAY,STAY,0.8598165,NO,0%
C110935,STAY,STAY,0.88310254,NO,0%
C104390,STAY,STAY,0.8277719,NO,0%
C110522,LEAVE,LEAVE,0.3205004,YES,10%
C106113,STAY,STAY,0.95870954,NO,0%
C100446,STAY,STAY,0.82803524,NO,0%
C113198,STAY,STAY,0.9420978,NO,0%
C112744,STAY,STAY,0.98780304,NO,0%
C106480,LEAVE,LEAVE,0.38225365,YES,10%
C106011,STAY,STAY,0.9230714,NO,0%
C111387,LEAVE,LEAVE,0.30196148,YES,10%
C100526,STAY,LEAVE,0.28896132,YES,10%
C112644,STAY,STAY,0.74031276,NO,0%
C103666,LEAVE,LEAVE,0.076450735,YES,5%
C109819,STAY,STAY,0.83941543,NO,0%
C101692,STAY,STAY,0.5913523,NO,0%
C113186,LEAVE,LEAVE,0.18761152,YES,5%
C112794,STAY,LEAVE,0.49738094,YES,10%
C104736,STAY,LEAVE,0.490573,YES,10%
C104177,STAY,STAY,0.9410523,NO,0%
C113526,STAY,STAY,0.8357389,NO,0%
C113661,STAY,STAY,0.98089945,NO,0%
C100749,LEAVE,LEAVE,0.4348175,YES,10%
C108963,STAY,LEAVE,0.25550577,YES,10%
C107524,LEAVE,LEAVE,0.3783099,YES,10%
C102509,STAY,STAY,0.7482349,NO,0%
C104842,STAY,STAY,0.85481745,NO,0%
C114441,STAY,LEAVE,0.3819985,YES,10%
C111086,LEAVE,LEAVE,0.17936338,YES,5%
C104818,LEAVE,LEAVE,0.09974832,YES,5%
C112121,STAY,LEAVE,0.27392522,YES,10%
C111306,LEAVE,LEAVE,0.22124541,YES,5%
C113383,LEAVE,LEAVE,0.21753624,YES,5%
C113249,STAY,STAY,0.8608614,NO,0%
C114520,LEAVE,LEAVE,0.2677948,YES,10%
C113534,STAY,STAY,0.5115568,NO,0%
C111943,STAY,STAY,0.9337404,NO,0%
C112103,STAY,STAY,0.81896484,NO,0%
C107073,STAY,STAY,0.7724029,NO,0%
C104982,STAY,STAY,0.76171064,NO,0%
C101965,STAY,STAY,0.69110113,NO,0%
C107063,LEAVE,LEAVE,0.18222071,YES,5%
C115911,LEAVE,STAY,0.50543386,NO,0%
C100297,LEAVE,LEAVE,0.04383842,YES,5%
C113400,STAY,STAY,0.8398599,NO,0%
C102492,STAY,STAY,0.9619298,NO,0%
C100064,LEAVE,STAY,0.56393266,NO,0%
C108057,LEAVE,LEAVE,0.2446647,YES,5%
C100784,LEAVE,LEAVE,0.35489362,YES,10%
C106258,STAY,STAY,0.7828641,NO,0%
C109390,LEAVE,LEAVE,0.28100663,YES,10%
C115147,STAY,STAY,0.7508788,NO,0%
C115400,LEAVE,LEAVE,0.34079164,YES,10%
C109892,STAY,STAY,0.95005363,NO,0%
C110440,LEAVE,LEAVE,0.20823118,YES,5%
C114679,STAY,STAY,0.9801521,NO,0%
C105237,STAY,STAY,0.9832175,NO,0%
C113434,STAY,STAY,0.8077517,NO,0%
C111934,LEAVE,LEAVE,0.40830606,YES,10%
C104187,LEAVE,LEAVE,0.026834039,YES,5%
C104287,LEAVE,LEAVE,0.41307437,YES,10%
C109780,LEAVE,LEAVE,0.40881136,YES,10%
C108978,LEAVE,STAY,0.5605003,NO,0%
C110282,LEAVE,LEAVE,0.12795825,YES,5%
C112468,LEAVE,LEAVE,0.3258379,YES,10%
C112027,STAY,STAY,0.9407299,NO,0%
C114763,STAY,LEAVE,0.47704402,YES,10%
C107998,STAY,STAY,0.90098226,NO,0%
C110140,STAY,STAY,0.7428241,NO,0%
C108511,LEAVE,LEAVE,0.16819157,YES,5%
C104931,LEAVE,LEAVE,0.37467343,YES,10%
C104706,STAY,STAY,0.70662457,NO,0%
C112913,LEAVE,LEAVE,0.168607,YES,5%
C106648,STAY,STAY,0.9228034,NO,0%
C115107,STAY,STAY,0.9052556,NO,0%
C115334,STAY,STAY,0.783679,NO,0%
C109049,STAY,STAY,0.93967915,NO,0%
C113482,STAY,LEAVE,0.45662844,YES,10%
C112469,LEAVE,LEAVE,0.1286885,YES,5%
C108285,LEAVE,LEAVE,0.26768735,YES,10%
C109244,LEAVE,LEAVE,0.3563494,YES,10%
C110807,STAY,STAY,0.9727562,NO,0%
C100197,STAY,STAY,0.9047314,NO,0%
C103982,STAY,STAY,0.98295975,NO,0%
C110871,STAY,STAY,0.9547531,NO,0%
C104604,STAY,STAY,0.83675826,NO,0%
C108843,STAY,STAY,0.57693607,NO,0%
C109154,STAY,STAY,0.992351,NO,0%
C102302,STAY,STAY,0.8077568,NO,0%
C100440,STAY,STAY,0.97493356,NO,0%
C105115,LEAVE,LEAVE,0.14974478,YES,5%
C111548,STAY,STAY,0.95033866,NO,0%
C101215,STAY,STAY,0.72854185,NO,0%
C105114,STAY,LEAVE,0.496044,YES,10%
C102769,LEAVE,LEAVE,0.39714196,YES,10%
C115387,STAY,STAY,0.91993606,NO,0%
C114189,LEAVE,LEAVE,0.35107943,YES,10%
C107959,LEAVE,LEAVE,0.15403153,YES,5%
C103895,STAY,LEAVE,0.47339875,YES,10%
C114163,STAY,STAY,0.9667299,NO,0%
C106031,STAY,STAY,0.8466102,NO,0%
C102365,STAY,STAY,0.581599,NO,0%
C112148,STAY,STAY,0.8810157,NO,0%
C115492,STAY,STAY,0.666247,NO,0%
C115912,STAY,STAY,0.99431145,NO,0%
C109873,STAY,STAY,0.9839215,NO,0%
C108000,STAY,STAY,0.89910245,NO,0%
C101070,LEAVE,LEAVE,0.19532672,YES,5%
C104538,STAY,STAY,0.9894733,NO,0%
C104138,STAY,STAY,0.94873655,NO,0%
C110395,STAY,STAY,0.5855477,NO,0%
C108318,LEAVE,LEAVE,0.032699216,YES,5%
C108592,LEAVE,LEAVE,0.28850523,YES,10%
C113604,STAY,STAY,0.9409947,NO,0%
C102528,LEAVE,LEAVE,0.34759533,YES,10%
C107746,STAY,STAY,0.87712735,NO,0%
C106744,STAY,LEAVE,0.4801176,YES,10%
C104335,STAY,LEAVE,0.3620763,YES,10%
C110720,STAY,STAY,0.83800477,NO,0%
C101899,STAY,STAY,0.8252058,NO,0%
C115838,STAY,STAY,0.8726942,NO,0%
C111087,LEAVE,STAY,0.7524971,NO,0%
C102810,STAY,STAY,0.7282237,NO,0%
C102211,LEAVE,LEAVE,0.38115385,YES,10%
C101651,LEAVE,LEAVE,0.2126351,YES,5%
C100105,STAY,STAY,0.86128944,NO,0%
C101621,STAY,STAY,0.9982918,NO,0%
C105692,LEAVE,LEAVE,0.10637737,YES,5%
C103206,STAY,STAY,0.8510804,NO,0%
C102020,STAY,LEAVE,0.16668352,YES,5%
C115582,STAY,STAY,0.9564063,NO,0%
C104939,LEAVE,LEAVE,0.3297308,YES,10%
C112731,LEAVE,LEAVE,0.4391448,YES,10%
C102785,STAY,LEAVE,0.43319073,YES,10%
C100501,STAY,STAY,0.8380106,NO,0%
C105667,LEAVE,STAY,0.6899914,NO,0%
C102602,LEAVE,LEAVE,0.3007819,YES,10%
C100993,STAY,STAY,0.82500565,NO,0%
C107516,STAY,STAY,0.8554032,NO,0%
C113801,STAY,STAY,0.67394024,NO,0%
C111300,LEAVE,STAY,0.7452068,NO,0%
C115549,STAY,STAY,0.93442816,NO,0%
C109137,STAY,STAY,0.96053207,NO,0%
C103379,STAY,STAY,0.5028917,NO,0%
C104971,STAY,STAY,0.61112493,NO,0%
C112745,STAY,STAY,0.7256103,NO,0%
C112915,LEAVE,LEAVE,0.37137258,YES,10%
C114361,LEAVE,LEAVE,0.39162531,YES,10%
C108515,LEAVE,LEAVE,0.46333957,YES,10%
C103138,LEAVE,LEAVE,0.46897173,YES,10%
C109911,STAY,STAY,0.9734914,NO,0%
C106272,STAY,STAY,0.9303044,NO,0%
C104416,LEAVE,STAY,0.715179,NO,0%
C105785,STAY,STAY,0.9169466,NO,0%
C109667,STAY,STAY,0.82924265,NO,0%
C106608,STAY,STAY,0.94141793,NO,0%
C108977,STAY,STAY,0.93864864,NO,0%
C106493,STAY,STAY,0.9734927,NO,0%
C111875,LEAVE,LEAVE,0.23551634,YES,5%
C103693,STAY,LEAVE,0.4841982,YES,10%
C102553,STAY,STAY,0.9592658,NO,0%
C109986,STAY,STAY,0.9848232,NO,0%
C100420,STAY,STAY,0.9041027,NO,0%
C104120,LEAVE,STAY,0.76350754,NO,0%
C113618,LEAVE,LEAVE,0.05769251,YES,5%
C112714,STAY,STAY,0.914378,NO,0%
C110191,STAY,STAY,0.9538936,NO,0%
C105657,STAY,STAY,0.59976774,NO,0%
C109375,STAY,STAY,0.9786202,NO,0%
C110909,STAY,STAY,0.82426375,NO,0%
C103987,STAY,LEAVE,0.47821367,YES,10%
C101607,STAY,STAY,0.67948467,NO,0%
C104928,LEAVE,STAY,0.6328386,NO,0%
C106033,LEAVE,LEAVE,0.11566357,YES,5%
C110761,STAY,STAY,0.51518774,NO,0%
C115873,LEAVE,LEAVE,0.1253252,YES,5%
C106782,STAY,STAY,0.7233333,NO,0%
C109708,LEAVE,LEAVE,0.21636519,YES,5%
C102617,STAY,STAY,0.89694184,NO,0%
C101192,STAY,STAY,0.997279,NO,0%
C107399,STAY,STAY,0.88631237,NO,0%
C107311,LEAVE,LEAVE,0.13294564,YES,5%
C108058,LEAVE,LEAVE,0.37440833,YES,10%
C106326,LEAVE,LEAVE,0.3660376,YES,10%
C106462,STAY,STAY,0.5971549,NO,0%
C107360,STAY,STAY,0.7529953,NO,0%
C111823,STAY,STAY,0.9645726,NO,0%
C108284,STAY,STAY,0.86244327,NO,0%
C107225,STAY,STAY,0.857198,NO,0%
C102584,LEAVE,LEAVE,0.21979228,YES,5%
C105567,STAY,STAY,0.9687385,NO,0%
C106087,STAY,STAY,0.9618726,NO,0%
C109812,STAY,STAY,0.91290987,NO,0%
C105930,LEAVE,LEAVE,0.055268943,YES,5%
C111378,LEAVE,LEAVE,0.19567099,YES,5%
C109310,LEAVE,LEAVE,0.16051404,YES,5%
C115078,STAY,STAY,0.8865987,NO,0%
C114258,LEAVE,LEAVE,0.14701644,YES,5%
C106704,STAY,LEAVE,0.3160463,YES,10%
C105821,STAY,STAY,0.9577809,NO,0%
C110284,STAY,LEAVE,0.47015747,YES,10%
C113886,STAY,STAY,0.55727375,NO,0%
C107124,STAY,STAY,0.75084376,NO,0%
C113251,STAY,STAY,0.95136416,NO,0%
C111430,STAY,STAY,0.71734416,NO,0%
C112191,STAY,STAY,0.9078139,NO,0%
C109706,LEAVE,LEAVE,0.30814266,YES,10%
C115715,STAY,LEAVE,0.43274942,YES,10%
C107584,LEAVE,LEAVE,0.09459326,YES,5%
C109307,LEAVE,LEAVE,0.29993328,YES,10%
C104409,STAY,STAY,0.7500064,NO,0%
C104286,STAY,STAY,0.5066429,NO,0%
C110744,LEAVE,LEAVE,0.15112601,YES,5%
C101759,STAY,STAY,0.55588037,NO,0%
C114360,STAY,STAY,0.9400216,NO,0%
C102263,LEAVE,LEAVE,0.15647064,YES,5%
C101895,LEAVE,LEAVE,0.180319,YES,5%
C115118,STAY,STAY,0.67385274,NO,0%
C109848,STAY,STAY,0.5321957,NO,0%
C111225,STAY,STAY,0.8454434,NO,0%
C113308,STAY,STAY,0.9623702,NO,0%
C106290,LEAVE,LEAVE,0.35061815,YES,10%
C107646,STAY,STAY,0.67379004,NO,0%
C109511,LEAVE,STAY,0.500915,NO,0%
C104827,STAY,STAY,0.8144093,NO,0%
C111899,STAY,STAY,0.9520959,NO,0%
C105251,STAY,LEAVE,0.32570618,YES,10%
C100683,STAY,STAY,0.8950386,NO,0%
C115919,STAY,STAY,0.9265985,NO,0%
